Sentença	Id	Index	Granularidade	Documento
19	20	-1	1	CGU e PF combatem superfaturamento na saúde em Araguaína TO
Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais	21	0	0	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
20	21	-1	1	Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
Combate à corrupção exige especialização e trabalho conjunto, defende ministro da CGU	22	0	0	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
21	22	-1	1	Combate à corrupção exige especialização e trabalho conjunto , defende ministro da CGU
LAI	23	0	0	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
Tratamento de dados pessoais é tema de nova capacitação da CGU	23	1	0	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
22	23	-1	1	LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA	24	0	0	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
23	24	-1	1	Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
CGU realiza 16 Reunião da Comissão de Coordenação de Controle Interno	25	0	0	CGU realiza 16 Reunião da Comissão de Coordenação de Controle Interno
24	25	-1	1	CGU realiza 16 Reunião da Comissão de Coordenação de Controle Interno
Ministro da CGU participa de lançamento do Plano de Integridade da Dataprev	26	0	0	Ministro da CGU participa de lançamento do Plano de Integridade da Dataprev
25	26	-1	1	Ministro da CGU participa de lançamento do Plano de Integridade da Dataprev
Chamada pública seleciona pesquisadores para projeto realizado pela CGU e Ipea	27	0	0	Chamada pública seleciona pesquisadores para projeto realizado pela CGU e Ipea
26	27	-1	1	Chamada pública seleciona pesquisadores para projeto realizado pela CGU e Ipea
Atualização das Despesas Públicas no Portal da Transparência	28	0	0	Atualização das Despesas Públicas no Portal da Transparência
27	28	-1	1	Atualização das Despesas Públicas no Portal da Transparência
SFC lança o infográfico Jornada do Auditor Interno Governamental	29	0	0	SFC lança o infográfico Jornada do Auditor Interno Governamental
28	29	-1	1	SFC lança o infográfico Jornada do Auditor Interno Governamental
CGU divulga resultado de seleção para Diretoria de Tecnologia da Informação	30	0	0	CGU divulga resultado de seleção para Diretoria de Tecnologia da Informação
29	30	-1	1	CGU divulga resultado de seleção para Diretoria de Tecnologia da Informação
OGU promove debates em alusão ao Dia do Ouvidor	31	0	0	OGU promove debates em alusão ao Dia do Ouvidor
30	31	-1	1	OGU promove debates em alusão ao Dia do Ouvidor
CGU publica norma operacional do Sistema de Ouvidorias do Executivo Federal	32	0	0	CGU publica norma operacional do Sistema de Ouvidorias do Executivo Federal
31	32	-1	1	CGU publica norma operacional do Sistema de Ouvidorias do Executivo Federal
Governo Federal atinge a marca de 1 milhão de pedidos de acesso à informação	33	0	0	Governo Federal atinge a marca de 1 milhão de pedidos de acesso à informação
32	33	-1	1	Governo Federal atinge a marca de 1 milhão de pedidos de acesso à informação
Revista da CGU abre chamada para dossiê especial sobre regulação na melhoria do Estado	34	0	0	Revista da CGU abre chamada para dossiê especial sobre regulação na melhoria do Estado
33	34	-1	1	Revista da CGU abre chamada para dossiê especial sobre regulação na melhoria do Estado
CGU divulga resultado da 2 edição da Escala Brasil Transparente - Avaliação 360	35	0	0	CGU divulga resultado da 2 edição da Escala Brasil Transparente - Avaliação 360
34	35	-1	1	CGU divulga resultado da 2 edição da Escala Brasil Transparente - Avaliação 360
STPC realiza primeiro encontro virtual de 2021 do Diálogos em Controle Social	36	0	0	STPC realiza primeiro encontro virtual de 2021 do Diálogos em Controle Social
35	36	-1	1	STPC realiza primeiro encontro virtual de 2021 do Diálogos em Controle Social
CGU conclui três ações do Plano Anticorrupção do Governo Federal	37	0	0	CGU conclui três ações do Plano Anticorrupção do Governo Federal
36	37	-1	1	CGU conclui três ações do Plano Anticorrupção do Governo Federal
CGU abre consulta pública sobre normativo de Tomadas de Contas Especiais	38	0	0	CGU abre consulta pública sobre normativo de Tomadas de Contas Especiais
37	38	-1	1	CGU abre consulta pública sobre normativo de Tomadas de Contas Especiais
Prosa de Ouvidoria Lei Geral de Proteção de Dados Pessoais foi tema do 1 dia	39	0	0	Prosa de Ouvidoria Lei Geral de Proteção de Dados Pessoais foi tema do 1 dia
38	39	-1	1	Prosa de Ouvidoria Lei Geral de Proteção de Dados Pessoais foi tema do 1 dia
Rede Nacional de Ouvidorias promove live sobre LGPD	40	0	0	Rede Nacional de Ouvidorias promove live sobre LGPD
39	40	-1	1	Rede Nacional de Ouvidorias promove live sobre LGPD
Ações de auditoria da CGU somaram R 17, 9 bilhões em benefícios financeiros em 2020	41	0	0	Ações de auditoria da CGU somaram R 17 , 9 bilhões em benefícios financeiros em 2020
40	41	-1	1	Ações de auditoria da CGU somaram R 17 , 9 bilhões em benefícios financeiros em 2020
Tratamento da informação pessoal em face da LAI e da LGPD é tema de live na CGU	42	0	0	Tratamento da informação pessoal em face da LAI e da LGPD é tema de live na CGU
41	42	-1	1	Tratamento da informação pessoal em face da LAI e da LGPD é tema de live na CGU
Prosa de Ouvidoria	43	0	0	Prosa de Ouvidoria Modelos para medir maturidade de gestão foi tema do 2 dia
Modelos para medir maturidade de gestão foi tema do 2 dia	43	1	0	Prosa de Ouvidoria Modelos para medir maturidade de gestão foi tema do 2 dia
42	43	-1	1	Prosa de Ouvidoria Modelos para medir maturidade de gestão foi tema do 2 dia
Prosa de Ouvidoria Proteção ao denunciante no Brasil foi tema do 3 dia	44	0	0	Prosa de Ouvidoria Proteção ao denunciante no Brasil foi tema do 3 dia
43	44	-1	1	Prosa de Ouvidoria Proteção ao denunciante no Brasil foi tema do 3 dia
GT - tica se reúne para tratar de precedentes da Comissão de tica Pública	45	0	0	GT - tica se reúne para tratar de precedentes da Comissão de tica Pública
44	45	-1	1	GT - tica se reúne para tratar de precedentes da Comissão de tica Pública
Governo Federal celebra o Dia Mundial da gua e promove o Seminário das guas	46	0	0	Governo Federal celebra o Dia Mundial da gua e promove o Seminário das guas Brasileiras
Brasileiras	46	1	0	Governo Federal celebra o Dia Mundial da gua e promove o Seminário das guas Brasileiras
45	46	-1	1	Governo Federal celebra o Dia Mundial da gua e promove o Seminário das guas Brasileiras
Prosa de Ouvidoria	47	0	0	Prosa de Ouvidoria Conselho de Usuários de Serviços Públicos foi tema do 4 dia
Conselho de Usuários de Serviços Públicos foi tema do 4 dia	47	1	0	Prosa de Ouvidoria Conselho de Usuários de Serviços Públicos foi tema do 4 dia
46	47	-1	1	Prosa de Ouvidoria Conselho de Usuários de Serviços Públicos foi tema do 4 dia
Ministro da CGU apresenta a importância da ética e do controle interno para a boa gestão pública	48	0	0	Ministro da CGU apresenta a importância da ética e do controle interno para a boa gestão pública
47	48	-1	1	Ministro da CGU apresenta a importância da ética e do controle interno para a boa gestão pública
Governo Federal analisa se vacinas estão sendo aplicadas nas pessoas	49	0	0	Governo Federal analisa se vacinas estão sendo aplicadas nas pessoas certas
certas	49	1	0	Governo Federal analisa se vacinas estão sendo aplicadas nas pessoas certas
48	49	-1	1	Governo Federal analisa se vacinas estão sendo aplicadas nas pessoas certas
CGU realiza evento sobre combate ao assédio sexual no ambiente de trabalho	50	0	0	CGU realiza evento sobre combate ao assédio sexual no ambiente de trabalho
49	50	-1	1	CGU realiza evento sobre combate ao assédio sexual no ambiente de trabalho
Prosa de Ouvidoria Soluções para inteligência artificial foi tema do último dia	51	0	0	Prosa de Ouvidoria Soluções para inteligência artificial foi tema do último dia
50	51	-1	1	Prosa de Ouvidoria Soluções para inteligência artificial foi tema do último dia
CGU participa de live sobre o enfrentamento da corrupção no Brasil	52	0	0	CGU participa de live sobre o enfrentamento da corrupção no Brasil
51	52	-1	1	CGU participa de live sobre o enfrentamento da corrupção no Brasil
Revista da CGU seleciona pesquisadores para compor cadastro de revisores	53	0	0	Revista da CGU seleciona pesquisadores para compor cadastro de revisores
52	53	-1	1	Revista da CGU seleciona pesquisadores para compor cadastro de revisores
Wagner Rosário fala sobre os desafios do gestor público no combate à corrupção	54	0	0	Wagner Rosário fala sobre os desafios do gestor público no combate à corrupção
53	54	-1	1	Wagner Rosário fala sobre os desafios do gestor público no combate à corrupção
Ouvidoria - Geral da União divulga Relatório de Gestão 2020	55	0	0	Ouvidoria - Geral da União divulga Relatório de Gestão 2020
54	55	-1	1	Ouvidoria - Geral da União divulga Relatório de Gestão 2020
Controladoria - Geral da União publica Relatório de Gestão de 2020	56	0	0	Controladoria - Geral da União publica Relatório de Gestão de 2020
55	56	-1	1	Controladoria - Geral da União publica Relatório de Gestão de 2020
CGU publica novo plano de ação da Infraestrutura Nacional de Dados Abertos	57	0	0	CGU publica novo plano de ação da Infraestrutura Nacional de Dados Abertos
56	57	-1	1	CGU publica novo plano de ação da Infraestrutura Nacional de Dados Abertos
Revista da CGU lança plano editorial para biênio 2021 - 2022	58	0	0	Revista da CGU lança plano editorial para biênio 2021 - 2022
57	58	-1	1	Revista da CGU lança plano editorial para biênio 2021 - 2022
CGU realiza segundo encontro virtual do Diálogos em Controle Social	59	0	0	CGU realiza segundo encontro virtual do Diálogos em Controle Social
58	59	-1	1	CGU realiza segundo encontro virtual do Diálogos em Controle Social
CGU, PF e MPF combatem desvios de recursos no Incra do Amazonas	60	0	0	CGU , PF e MPF combatem desvios de recursos no Incra do Amazonas
59	60	-1	1	CGU , PF e MPF combatem desvios de recursos no Incra do Amazonas
CGU divulga Prestação de Contas do Presidente da República de 2020	61	0	0	CGU divulga Prestação de Contas do Presidente da República de 2020
60	61	-1	1	CGU divulga Prestação de Contas do Presidente da República de 2020
CGU e PF combatem fraudes na aquisição de materiais escolares em Pernambuco	62	0	0	CGU e PF combatem fraudes na aquisição de materiais escolares em Pernambuco
61	62	-1	1	CGU e PF combatem fraudes na aquisição de materiais escolares em Pernambuco
CGU abre consulta para aprimorar norma do Plano Anual de Auditoria Interna	63	0	0	CGU abre consulta para aprimorar norma do Plano Anual de Auditoria Interna
62	63	-1	1	CGU abre consulta para aprimorar norma do Plano Anual de Auditoria Interna
CGU e Polícia Federal deflagram mais duas fases da Operação Rota BR 090	64	0	0	CGU e Polícia Federal deflagram mais duas fases da Operação Rota BR 090
63	64	-1	1	CGU e Polícia Federal deflagram mais duas fases da Operação Rota BR 090
Covid - 19 CGU e PF reforçam apuração de desvios na saúde em Rio Branco	65	0	0	Covid - 19 CGU e PF reforçam apuração de desvios na saúde em Rio Branco AC
AC	65	1	0	Covid - 19 CGU e PF reforçam apuração de desvios na saúde em Rio Branco AC
64	65	-1	1	Covid - 19 CGU e PF reforçam apuração de desvios na saúde em Rio Branco AC
Polícias Federal, Civil e Militar prendem investigados por assaltos a instituições bancárias em Salvador	66	0	0	Polícias Federal , Civil e Militar prendem investigados por assaltos a instituições bancárias em Salvador
65	66	-1	1	Polícias Federal , Civil e Militar prendem investigados por assaltos a instituições bancárias em Salvador
Polícia Federal apreende mais de três toneladas de pirarucu no Amazonas	67	0	0	Polícia Federal apreende mais de três toneladas de pirarucu no Amazonas
66	67	-1	1	Polícia Federal apreende mais de três toneladas de pirarucu no Amazonas
PF e BPFRON localizam depósito de produtos contrabandeados em Foz do Iguaçu PR	68	0	0	PF e BPFRON localizam depósito de produtos contrabandeados em Foz do Iguaçu PR
67	68	-1	1	PF e BPFRON localizam depósito de produtos contrabandeados em Foz do Iguaçu PR
PF prende um homem e apreende mais de 300 comprimidos de ecstasy	69	0	0	PF prende um homem e apreende mais de 300 comprimidos de ecstasy
68	69	-1	1	PF prende um homem e apreende mais de 300 comprimidos de ecstasy
PF investiga esquema de venda de relíquias arqueológicas encontradas no Acre	70	0	0	PF investiga esquema de venda de relíquias arqueológicas encontradas no Acre
69	70	-1	1	PF investiga esquema de venda de relíquias arqueológicas encontradas no Acre
PF apreende carga de cigarros paraguaios e veículos usados no transporte da mercadoria	71	0	0	PF apreende carga de cigarros paraguaios e veículos usados no transporte da mercadoria
70	71	-1	1	PF apreende carga de cigarros paraguaios e veículos usados no transporte da mercadoria
Polícia Federal prende casal por tráfico de drogas em Macapá	72	0	0	Polícia Federal prende casal por tráfico de drogas em Macapá
71	72	-1	1	Polícia Federal prende casal por tráfico de drogas em Macapá
Polícia Federal e Receita Federal prendem dois homens por tráfico de animais silvestres	73	0	0	Polícia Federal e Receita Federal prendem dois homens por tráfico de animais silvestres
72	73	-1	1	Polícia Federal e Receita Federal prendem dois homens por tráfico de animais silvestres
PF prende em flagrante homem que teria compartilhado imagens pornográficas de menor	74	0	0	PF prende em flagrante homem que teria compartilhado imagens pornográficas de menor
73	74	-1	1	PF prende em flagrante homem que teria compartilhado imagens pornográficas de menor
PF e BPFRON interceptam comboio com veículos carregados com cigarros contrabandeados	75	0	0	PF e BPFRON interceptam comboio com veículos carregados com cigarros contrabandeados
74	75	-1	1	PF e BPFRON interceptam comboio com veículos carregados com cigarros contrabandeados
PF apreende cocaína encontrada em navio no Porto de bidos PA	76	0	0	PF apreende cocaína encontrada em navio no Porto de bidos PA
75	76	-1	1	PF apreende cocaína encontrada em navio no Porto de bidos PA
PF prende homem em flagrante com cédulas falsas	77	0	0	PF prende homem em flagrante com cédulas falsas
76	77	-1	1	PF prende homem em flagrante com cédulas falsas
PF prende passageiro de voo internacional com mais de 2 kg de cocaína	78	0	0	PF prende passageiro de voo internacional com mais de 2 kg de cocaína
77	78	-1	1	PF prende passageiro de voo internacional com mais de 2 kg de cocaína
PF cumpre mandado de prisão preventiva de suspeito de cometer crimes de roubo contra os Correios	79	0	0	PF cumpre mandado de prisão preventiva de suspeito de cometer crimes de roubo contra os Correios
78	79	-1	1	PF cumpre mandado de prisão preventiva de suspeito de cometer crimes de roubo contra os Correios
PF faz duas apreensões de cédulas falsas na região de Jales SP	80	0	0	PF faz duas apreensões de cédulas falsas na região de Jales SP
79	80	-1	1	PF faz duas apreensões de cédulas falsas na região de Jales SP
PF e BPFRON apreendem veículo carregado com cigarros contrabandeados	81	0	0	PF e BPFRON apreendem veículo carregado com cigarros contrabandeados
80	81	-1	1	PF e BPFRON apreendem veículo carregado com cigarros contrabandeados
PF apreende mais de 12 kg de cocaína no aeroporto de Guarulhos	82	0	0	PF apreende mais de 12 kg de cocaína no aeroporto de Guarulhos
81	82	-1	1	PF apreende mais de 12 kg de cocaína no aeroporto de Guarulhos
PF e BPFRON realizam prisão em flagrante de contrabandista	83	0	0	PF e BPFRON realizam prisão em flagrante de contrabandista
82	83	-1	1	PF e BPFRON realizam prisão em flagrante de contrabandista
PF apreende 2 pick - up carregadas com cigarros contrabandeados em Guaíra PR	84	0	0	PF apreende 2 pick - up carregadas com cigarros contrabandeados em Guaíra PR
83	84	-1	1	PF apreende 2 pick - up carregadas com cigarros contrabandeados em Guaíra PR
Líder de organização criminosa é preso no Paraguai com o apoio da PF	85	0	0	Líder de organização criminosa é preso no Paraguai com o apoio da PF
84	85	-1	1	Líder de organização criminosa é preso no Paraguai com o apoio da PF
Dia do Papiloscopista	86	0	0	Dia do Papiloscopista
85	86	-1	1	Dia do Papiloscopista
PF, em ação conjunta, apreende duas menores com haxixe em ônibus na BR277 no âmbito da Operação Hórus e Programa	87	0	0	PF , em ação conjunta , apreende duas menores com haxixe em ônibus na BR277 no âmbito da Operação Hórus e Programa VIGIA
VIGIA	87	1	0	PF , em ação conjunta , apreende duas menores com haxixe em ônibus na BR277 no âmbito da Operação Hórus e Programa VIGIA
86	87	-1	1	PF , em ação conjunta , apreende duas menores com haxixe em ônibus na BR277 no âmbito da Operação Hórus e Programa VIGIA
Operação Resgate liberta mais de 100 trabalhadores em condições análogas à escravidão	88	0	0	Operação Resgate liberta mais de 100 trabalhadores em condições análogas à escravidão
87	88	-1	1	Operação Resgate liberta mais de 100 trabalhadores em condições análogas à escravidão
PF e PM combatem organização criminosa especializada em roubo a bancos	89	0	0	PF e PM combatem organização criminosa especializada em roubo a bancos
88	89	-1	1	PF e PM combatem organização criminosa especializada em roubo a bancos
PF combate venda e produção caseira de armas de fogo em Minas Gerais	90	0	0	PF combate venda e produção caseira de armas de fogo em Minas Gerais
89	90	-1	1	PF combate venda e produção caseira de armas de fogo em Minas Gerais
PF e BPFRON apreendem maconha especial	91	0	0	PF e BPFRON apreendem maconha especial
90	91	-1	1	PF e BPFRON apreendem maconha especial
Polícia Federal realiza maior apreensão de maconha do ano em Pernambuco	92	0	0	Polícia Federal realiza maior apreensão de maconha do ano em Pernambuco
91	92	-1	1	Polícia Federal realiza maior apreensão de maconha do ano em Pernambuco
PF deflagra a segunda fase da Operação Voto Livre	93	0	0	PF deflagra a segunda fase da Operação Voto Livre
92	93	-1	1	PF deflagra a segunda fase da Operação Voto Livre
PF combate o crime de moeda falsa no Espírito Santo	94	0	0	PF combate o crime de moeda falsa no Espírito Santo
93	94	-1	1	PF combate o crime de moeda falsa no Espírito Santo
Polícia Federal combate fraude a licitações no Acre	95	0	0	Polícia Federal combate fraude a licitações no Acre
94	95	-1	1	Polícia Federal combate fraude a licitações no Acre
PF deflagra a Operação Overweight para combater o tráfico internacional de drogas em São Paulo	96	0	0	PF deflagra a Operação Overweight para combater o tráfico internacional de drogas em São Paulo
95	96	-1	1	PF deflagra a Operação Overweight para combater o tráfico internacional de drogas em São Paulo
PF, em cooperação com autoridades bolivianas, viabiliza libertação de brasileira na Bolívia	97	0	0	PF , em cooperação com autoridades bolivianas , viabiliza libertação de brasileira na Bolívia
96	97	-1	1	PF , em cooperação com autoridades bolivianas , viabiliza libertação de brasileira na Bolívia
PF apreende mais de 12 kg de cocaína	98	0	0	PF apreende mais de 12 kg de cocaína
97	98	-1	1	PF apreende mais de 12 kg de cocaína
Polícia Federal entrega ao Museu Oscar Niemeyer	99	0	0	Polícia Federal entrega ao Museu Oscar Niemeyer obras apreendidas na Operação Vernissage
obras apreendidas na Operação Vernissage	99	1	0	Polícia Federal entrega ao Museu Oscar Niemeyer obras apreendidas na Operação Vernissage
98	99	-1	1	Polícia Federal entrega ao Museu Oscar Niemeyer obras apreendidas na Operação Vernissage
PF prende argentino procurado pela Interpol no Rio de Janeiro	100	0	0	PF prende argentino procurado pela Interpol no Rio de Janeiro
99	100	-1	1	PF prende argentino procurado pela Interpol no Rio de Janeiro
PF e BPFRON apreendem carga 250 kg de agrotóxicos em Terra Roxa PR	101	0	0	PF e BPFRON apreendem carga 250 kg de agrotóxicos em Terra Roxa PR
100	101	-1	1	PF e BPFRON apreendem carga 250 kg de agrotóxicos em Terra Roxa PR
PF cumpre mandados de prisão de foragidos da justiça que prestaram o Enem	102	0	0	PF cumpre mandados de prisão de foragidos da justiça que prestaram o Enem
101	102	-1	1	PF cumpre mandados de prisão de foragidos da justiça que prestaram o Enem
PF investiga desvios de recursos públicos destinados ao combate da Covid - 19 no Piauí	103	0	0	PF investiga desvios de recursos públicos destinados ao combate da Covid - 19 no Piauí
102	103	-1	1	PF investiga desvios de recursos públicos destinados ao combate da Covid - 19 no Piauí
Polícia Federal deflagra 79 Fase da Operação	104	0	0	Polícia Federal deflagra 79 Fase da Operação Lava Jato Operação Vernissage
Lava Jato	104	1	0	Polícia Federal deflagra 79 Fase da Operação Lava Jato Operação Vernissage
Operação Vernissage	104	2	0	Polícia Federal deflagra 79 Fase da Operação Lava Jato Operação Vernissage
103	104	-1	1	Polícia Federal deflagra 79 Fase da Operação Lava Jato Operação Vernissage
PF combate lavagem de dinheiro no Distrito Federal e em Goiás	105	0	0	PF combate lavagem de dinheiro no Distrito Federal e em Goiás
104	105	-1	1	PF combate lavagem de dinheiro no Distrito Federal e em Goiás
PF encontra diversos animais nativos em bagagem de passageiro que pretendia embarcar em voo para a Rússia	106	0	0	PF encontra diversos animais nativos em bagagem de passageiro que pretendia embarcar em voo para a Rússia
105	106	-1	1	PF encontra diversos animais nativos em bagagem de passageiro que pretendia embarcar em voo para a Rússia
Polícia Federal prende foragido internacional no Aeroporto de Guarulhos	107	0	0	Polícia Federal prende foragido internacional no Aeroporto de Guarulhos
106	107	-1	1	Polícia Federal prende foragido internacional no Aeroporto de Guarulhos
PF incinera 5, 5 toneladas de drogas apreendidas no Porto de Santos	108	0	0	PF incinera 5 , 5 toneladas de drogas apreendidas no Porto de Santos
107	108	-1	1	PF incinera 5 , 5 toneladas de drogas apreendidas no Porto de Santos
PF prende duas pessoas por comércio ilegal de armas de fogo em Roraima	109	0	0	PF prende duas pessoas por comércio ilegal de armas de fogo em Roraima
108	109	-1	1	PF prende duas pessoas por comércio ilegal de armas de fogo em Roraima
PF prende suspeito de assaltos a agências dos Correios no Espírito Santo	110	0	0	PF prende suspeito de assaltos a agências dos Correios no Espírito Santo
109	110	-1	1	PF prende suspeito de assaltos a agências dos Correios no Espírito Santo
PF identifica 409 crimes durante apurações da Operação Cai -	111	0	0	PF identifica 409 crimes durante apurações da Operação Cai - Cai
Cai	111	1	0	PF identifica 409 crimes durante apurações da Operação Cai - Cai
110	111	-1	1	PF identifica 409 crimes durante apurações da Operação Cai - Cai
PF atua em invasão à plataforma de petróleo em Angra RJ	112	0	0	PF atua em invasão à plataforma de petróleo em Angra RJ
111	112	-1	1	PF atua em invasão à plataforma de petróleo em Angra RJ
Polícia Federal apreende carga de agrotóxicos contrabandeados e arma de fogo durante Operação Hórus em Cascavel - PR	113	0	0	Polícia Federal apreende carga de agrotóxicos contrabandeados e arma de fogo durante Operação Hórus em Cascavel - PR
112	113	-1	1	Polícia Federal apreende carga de agrotóxicos contrabandeados e arma de fogo durante Operação Hórus em Cascavel - PR
Polícia Federal combate crime de moeda falsa no Rio Grande do Sul	114	0	0	Polícia Federal combate crime de moeda falsa no Rio Grande do Sul
113	114	-1	1	Polícia Federal combate crime de moeda falsa no Rio Grande do Sul
PF apreende 25 mil micropontos da droga sintética NBOH em Varginha MG	115	0	0	PF apreende 25 mil micropontos da droga sintética NBOH em Varginha MG
114	115	-1	1	PF apreende 25 mil micropontos da droga sintética NBOH em Varginha MG
Operação felos investiga fraudes em solicitações do Auxílio Emergencial no Acre	116	0	0	Operação felos investiga fraudes em solicitações do Auxílio Emergencial no Acre
115	116	-1	1	Operação felos investiga fraudes em solicitações do Auxílio Emergencial no Acre
Polícia Federal deflagra Operação	117	0	0	Polícia Federal deflagra Operação Despudor no Acre para investigar publicações de abusos sexuais de criança na internet
Despudor no Acre para investigar publicações de abusos sexuais de criança na internet	117	1	0	Polícia Federal deflagra Operação Despudor no Acre para investigar publicações de abusos sexuais de criança na internet
116	117	-1	1	Polícia Federal deflagra Operação Despudor no Acre para investigar publicações de abusos sexuais de criança na internet
PF investiga esquema de venda de selos falsos no Mato Grosso	118	0	0	PF investiga esquema de venda de selos falsos no Mato Grosso
117	118	-1	1	PF investiga esquema de venda de selos falsos no Mato Grosso
Polícia Federal combate desmatamento na Amazônia	119	0	0	Polícia Federal combate desmatamento na Amazônia
118	119	-1	1	Polícia Federal combate desmatamento na Amazônia
PF prende traficante foragido no Rio de Janeiro	120	0	0	PF prende traficante foragido no Rio de Janeiro
119	120	-1	1	PF prende traficante foragido no Rio de Janeiro
PF, em ação conjunta, apreende carregamento de cigarros contrabandeados	121	0	0	PF , em ação conjunta , apreende carregamento de cigarros contrabandeados
120	121	-1	1	PF , em ação conjunta , apreende carregamento de cigarros contrabandeados
