id;sentencas;documento
82;['PF apreende mais de 12 kg de cocaína no aeroporto de Guarulhos'];PF apreende mais de 12 kg de cocaína no aeroporto de Guarulhos
83;['PF e BPFRON realizam prisão em flagrante de contrabandista'];PF e BPFRON realizam prisão em flagrante de contrabandista
84;['PF apreende 2 pick - up carregadas com cigarros contrabandeados em Guaíra PR'];PF apreende 2 pick - up carregadas com cigarros contrabandeados em Guaíra PR
85;['Líder de organização criminosa é preso no Paraguai com o apoio da PF'];Líder de organização criminosa é preso no Paraguai com o apoio da PF
86;['Dia do Papiloscopista'];Dia do Papiloscopista
87;['PF, em ação conjunta, apreende duas menores com haxixe em ônibus na BR277 no âmbito da Operação Hórus e Programa', 'VIGIA'];PF, em ação conjunta, apreende duas menores com haxixe em ônibus na BR277 no âmbito da Operação Hórus e Programa VIGIA
88;['Operação Resgate liberta mais de 100 trabalhadores em condições análogas à escravidão'];Operação Resgate liberta mais de 100 trabalhadores em condições análogas à escravidão
89;['PF e PM combatem organização criminosa especializada em roubo a bancos'];PF e PM combatem organização criminosa especializada em roubo a bancos
90;['PF combate venda e produção caseira de armas de fogo em Minas Gerais'];PF combate venda e produção caseira de armas de fogo em Minas Gerais
91;['PF e BPFRON apreendem maconha especial'];PF e BPFRON apreendem maconha especial
92;['Polícia Federal realiza maior apreensão de maconha do ano em Pernambuco'];Polícia Federal realiza maior apreensão de maconha do ano em Pernambuco
93;['PF deflagra a segunda fase da Operação Voto Livre'];PF deflagra a segunda fase da Operação Voto Livre
94;['PF combate o crime de moeda falsa no Espírito Santo'];PF combate o crime de moeda falsa no Espírito Santo
95;['Polícia Federal combate fraude a licitações no Acre'];Polícia Federal combate fraude a licitações no Acre
96;['PF deflagra a Operação Overweight para combater o tráfico internacional de drogas em São Paulo'];PF deflagra a Operação Overweight para combater o tráfico internacional de drogas em São Paulo
97;['PF, em cooperação com autoridades bolivianas, viabiliza libertação de brasileira na Bolívia'];PF, em cooperação com autoridades bolivianas, viabiliza libertação de brasileira na Bolívia
98;['PF apreende mais de 12 kg de cocaína'];PF apreende mais de 12 kg de cocaína
99;['Polícia Federal entrega ao Museu Oscar Niemeyer', 'obras apreendidas na Operação Vernissage'];Polícia Federal entrega ao Museu Oscar Niemeyer obras apreendidas na Operação Vernissage
100;['PF prende argentino procurado pela Interpol no Rio de Janeiro'];PF prende argentino procurado pela Interpol no Rio de Janeiro
101;['PF e BPFRON apreendem carga 250 kg de agrotóxicos em Terra Roxa PR'];PF e BPFRON apreendem carga 250 kg de agrotóxicos em Terra Roxa PR
102;['PF cumpre mandados de prisão de foragidos da justiça que prestaram o Enem'];PF cumpre mandados de prisão de foragidos da justiça que prestaram o Enem
103;['PF investiga desvios de recursos públicos destinados ao combate da Covid - 19 no Piauí'];PF investiga desvios de recursos públicos destinados ao combate da Covid - 19 no Piauí
104;['Polícia Federal deflagra 79 Fase da Operação', 'Lava Jato', 'Operação Vernissage'];Polícia Federal deflagra 79 Fase da Operação Lava Jato Operação Vernissage
105;['PF combate lavagem de dinheiro no Distrito Federal e em Goiás'];PF combate lavagem de dinheiro no Distrito Federal e em Goiás
106;['PF encontra diversos animais nativos em bagagem de passageiro que pretendia embarcar em voo para a Rússia'];PF encontra diversos animais nativos em bagagem de passageiro que pretendia embarcar em voo para a Rússia
107;['Polícia Federal prende foragido internacional no Aeroporto de Guarulhos'];Polícia Federal prende foragido internacional no Aeroporto de Guarulhos
108;['PF incinera 5, 5 toneladas de drogas apreendidas no Porto de Santos'];PF incinera 5, 5 toneladas de drogas apreendidas no Porto de Santos
109;['PF prende duas pessoas por comércio ilegal de armas de fogo em Roraima'];PF prende duas pessoas por comércio ilegal de armas de fogo em Roraima
110;['PF prende suspeito de assaltos a agências dos Correios no Espírito Santo'];PF prende suspeito de assaltos a agências dos Correios no Espírito Santo
111;['PF identifica 409 crimes durante apurações da Operação Cai -', 'Cai'];PF identifica 409 crimes durante apurações da Operação Cai - Cai
112;['PF atua em invasão à plataforma de petróleo em Angra RJ'];PF atua em invasão à plataforma de petróleo em Angra RJ
113;['Polícia Federal apreende carga de agrotóxicos contrabandeados e arma de fogo durante Operação Hórus em Cascavel - PR'];Polícia Federal apreende carga de agrotóxicos contrabandeados e arma de fogo durante Operação Hórus em Cascavel - PR
114;['Polícia Federal combate crime de moeda falsa no Rio Grande do Sul'];Polícia Federal combate crime de moeda falsa no Rio Grande do Sul
115;['PF apreende 25 mil micropontos da droga sintética NBOH em Varginha MG'];PF apreende 25 mil micropontos da droga sintética NBOH em Varginha MG
116;['Operação felos investiga fraudes em solicitações do Auxílio Emergencial no Acre'];Operação felos investiga fraudes em solicitações do Auxílio Emergencial no Acre
117;['Polícia Federal deflagra Operação', 'Despudor no Acre para investigar publicações de abusos sexuais de criança na internet'];Polícia Federal deflagra Operação Despudor no Acre para investigar publicações de abusos sexuais de criança na internet
118;['PF investiga esquema de venda de selos falsos no Mato Grosso'];PF investiga esquema de venda de selos falsos no Mato Grosso
119;['Polícia Federal combate desmatamento na Amazônia'];Polícia Federal combate desmatamento na Amazônia
120;['PF prende traficante foragido no Rio de Janeiro'];PF prende traficante foragido no Rio de Janeiro
121;['PF, em ação conjunta, apreende carregamento de cigarros contrabandeados'];PF, em ação conjunta, apreende carregamento de cigarros contrabandeados
122;['PF incinera 375 kg de substâncias entorpecentes no Rio Grande do Norte'];PF incinera 375 kg de substâncias entorpecentes no Rio Grande do Norte
123;['PF prende suspeito de participar de vários roubos a agências dos Correios no Espírito Santo'];PF prende suspeito de participar de vários roubos a agências dos Correios no Espírito Santo
124;['PF deflagra duas operações simultâneas visando combater a disseminação de pornografia infantil Operação Help X e Operação Infância', 'Resgatada'];PF deflagra duas operações simultâneas visando combater a disseminação de pornografia infantil Operação Help X e Operação Infância Resgatada
125;['PF combate comércio ilegal de pássaros silvestres em Minas Gerais'];PF combate comércio ilegal de pássaros silvestres em Minas Gerais
126;['PF,', 'em ação conjunta, apreende carregamento com aproximadamente 400 mil maços de cigarros contrabandeados'];PF, em ação conjunta, apreende carregamento com aproximadamente 400 mil maços de cigarros contrabandeados
127;['PF combate prática de crimes previdenciários em Pernambuco'];PF combate prática de crimes previdenciários em Pernambuco
128;['Polícia Federal prende mulheres com maconha na rodoviária de Foz do Iguaçu PR'];Polícia Federal prende mulheres com maconha na rodoviária de Foz do Iguaçu PR
129;['PF deflagra a Operação Bad Trip, para desarticular grupo criminoso especializado no tráfico de ecstasy'];PF deflagra a Operação Bad Trip, para desarticular grupo criminoso especializado no tráfico de ecstasy
130;['PF combate crime eleitoral no Acre'];PF combate crime eleitoral no Acre
131;['Polícia Federal deflagra Operação Raposo para investigar furtos de dispositivos eletrônicos em rgão público paranaense'];Polícia Federal deflagra Operação Raposo para investigar furtos de dispositivos eletrônicos em rgão público paranaense
132;['PF combate desvios de recursos públicos destinados ao combate à Covid - 19 no Piauí'];PF combate desvios de recursos públicos destinados ao combate à Covid - 19 no Piauí
133;['PF prende 2 pessoas identificadas pela receita com droga dentro de embalagens de café e remédios'];PF prende 2 pessoas identificadas pela receita com droga dentro de embalagens de café e remédios
134;['Polícia Federal cumpre mandado de prisão em desfavor de ex', '- prefeito municipal de cidade vizinha'];Polícia Federal cumpre mandado de prisão em desfavor de ex - prefeito municipal de cidade vizinha
135;['PF prende em flagrante por estelionato homem condenado por divulgar pornografia infantil'];PF prende em flagrante por estelionato homem condenado por divulgar pornografia infantil
136;['PF prende, no Rio Grande do Norte, procurado pela Justiça de Goiás'];PF prende, no Rio Grande do Norte, procurado pela Justiça de Goiás
137;['PF apreende 100 kg de cocaína no Mato Grosso'];PF apreende 100 kg de cocaína no Mato Grosso
138;['PF, em ação conjunta, apreende cocaína no Rio Juruá'];PF, em ação conjunta, apreende cocaína no Rio Juruá
139;['Polícia Federal desarticula grupo criminoso responsável por fraudes na concessão de Benefícios Previdenciários'];Polícia Federal desarticula grupo criminoso responsável por fraudes na concessão de Benefícios Previdenciários
140;['Polícia Federal combate garimpo na Terra Indígena Yanomami.'];Polícia Federal combate garimpo na Terra Indígena Yanomami.
141;['PF prende, no Rio de Janeiro, solicitante de passaporte foragido desde 2011'];PF prende, no Rio de Janeiro, solicitante de passaporte foragido desde 2011
142;['Policiais apreendem essências de narguilé e cigarros eletrônicos na região da Vila Portes, em Foz do Iguaçu PR'];Policiais apreendem essências de narguilé e cigarros eletrônicos na região da Vila Portes, em Foz do Iguaçu PR
143;['Ação integrada de órgãos federais divulga resultados da Operação Resgate nesta quinta - feira'];Ação integrada de órgãos federais divulga resultados da Operação Resgate nesta quinta - feira
144;['Policiais cumprem mandado de prisão na Ponte da Amizade'];Policiais cumprem mandado de prisão na Ponte da Amizade
145;['PF combate crime de moeda falsa no Rio Grande do Norte'];PF combate crime de moeda falsa no Rio Grande do Norte
146;['PF deflagra a segunda fase da Operação Alcatraz, denominada', 'Hemorragia'];PF deflagra a segunda fase da Operação Alcatraz, denominada Hemorragia
147;['PF, em ação integrada, realiza nova apreensão de agrotóxicos'];PF, em ação integrada, realiza nova apreensão de agrotóxicos
148;['PF e PM apreendem 450 kg de agrotóxicos em Guaíra PR'];PF e PM apreendem 450 kg de agrotóxicos em Guaíra PR
149;['PF apreende quase 8 kg de cocaína em São Paulo'];PF apreende quase 8 kg de cocaína em São Paulo
150;['Polícia Federal e Receita Federal apreendem 435 mil reais na fronteira com o Uruguai'];Polícia Federal e Receita Federal apreendem 435 mil reais na fronteira com o Uruguai
151;['Polícia Federal realiza prisão de destinatário de drogas pelos Correios'];Polícia Federal realiza prisão de destinatário de drogas pelos Correios
152;['PF combate extração ilegal de minério de ouro no Pará'];PF combate extração ilegal de minério de ouro no Pará
153;['PF,', 'no âmbito da Operação Hórus, apreende mais um carregamento de maconha'];PF, no âmbito da Operação Hórus, apreende mais um carregamento de maconha
154;['Polícia Federal deflagra Operação Cash Delivery para apurar prejuízo de 600 mil reais a clientes da Caixa Econômica Federal de Jaguarão RS'];Polícia Federal deflagra Operação Cash Delivery para apurar prejuízo de 600 mil reais a clientes da Caixa Econômica Federal de Jaguarão RS
155;['PF prende traficante holandês procurado pela Interpol no Rio de Janeiro'];PF prende traficante holandês procurado pela Interpol no Rio de Janeiro
156;['PF combate divulgação de pornografia infantojuvenil pela internet'];PF combate divulgação de pornografia infantojuvenil pela internet
157;['PF extradita da Espanha procurada pela Interpol'];PF extradita da Espanha procurada pela Interpol
158;['PF investiga desvio de recursos públicos destinados ao custeio de centros de educação infantil e creches'];PF investiga desvio de recursos públicos destinados ao custeio de centros de educação infantil e creches
159;['Polícia Federal prende foragido da Justiça de Santa Catarina'];Polícia Federal prende foragido da Justiça de Santa Catarina
160;['PF remove líder de facção criminosa para presídio federal'];PF remove líder de facção criminosa para presídio federal
161;['PF prende suspeito de disseminação de pornografia infantil na internet'];PF prende suspeito de disseminação de pornografia infantil na internet
162;['Publicado edital do concurso da Polícia Federal'];Publicado edital do concurso da Polícia Federal
163;['PF, em ação conjunta com a PRF, apreendeu grande quantidade de cigarros no Litoral Sul', 'Potiguar'];PF, em ação conjunta com a PRF, apreendeu grande quantidade de cigarros no Litoral Sul Potiguar
164;['PF prende por uso de documentos falsos'];PF prende por uso de documentos falsos
165;['PF, em ação conjunta, deflagrou a Operação Festa Branca em Rondônia'];PF, em ação conjunta, deflagrou a Operação Festa Branca em Rondônia
166;['PF desarticula grupo criminoso especializado em tráfico de drogas em Pernambuco'];PF desarticula grupo criminoso especializado em tráfico de drogas em Pernambuco
167;['PF prende por saques de benefícios fraudulentos do INSS'];PF prende por saques de benefícios fraudulentos do INSS
168;['PF deflagra mais uma fase da Operação Pesadelo no Espirito Santo'];PF deflagra mais uma fase da Operação Pesadelo no Espirito Santo
169;['PF prende quatro pessoas por tráfico de drogas em Roraima'];PF prende quatro pessoas por tráfico de drogas em Roraima
170;['PF participa de visita a entidades estadunidenses responsáveis pelo combate ao tráfico de madeiras'];PF participa de visita a entidades estadunidenses responsáveis pelo combate ao tráfico de madeiras
171;['PF apreende embarcação preparada para o transporte de ilícitos'];PF apreende embarcação preparada para o transporte de ilícitos
172;['OPERA', 'O H RUS PF apreende aproximadamente 250 mil maços de cigarros contrabandeados no Paraná'];OPERA O H RUS PF apreende aproximadamente 250 mil maços de cigarros contrabandeados no Paraná
173;['PF deflagra operação', 'Tantos no combate ao crime de compra de votos no Ceará'];PF deflagra operação Tantos no combate ao crime de compra de votos no Ceará
174;['PF apreende uma tonelada de maconha no Paraná'];PF apreende uma tonelada de maconha no Paraná
175;['PF cumpre mandado de prisão temporária de distribuidor de células falsas'];PF cumpre mandado de prisão temporária de distribuidor de células falsas
176;['Polícia Federal realiza extradição de cidadão paraguaio, com destino à cidade de Buenos Aires Argentina'];Polícia Federal realiza extradição de cidadão paraguaio, com destino à cidade de Buenos Aires Argentina
177;['Polícia Federal realiza primeira apreensão de cocaína do ano de 2021 no aeroporto internacional dos Guararapes'];Polícia Federal realiza primeira apreensão de cocaína do ano de 2021 no aeroporto internacional dos Guararapes
178;['PF participa da Operação Concórdia para combater tráfico de drogas e armas no Rio Grande do Norte'];PF participa da Operação Concórdia para combater tráfico de drogas e armas no Rio Grande do Norte
179;['PF apreende mais de uma tonelada de maconha'];PF apreende mais de uma tonelada de maconha
180;['PF e BPFRON apreendem dois veículos carregados com cigarros paraguaios'];PF e BPFRON apreendem dois veículos carregados com cigarros paraguaios
181;['PF e BPFRON apreendem carreta bi - trem carregada com cigarros contrabandeados'];PF e BPFRON apreendem carreta bi - trem carregada com cigarros contrabandeados
182;['PF e BPFRON apreendem três veículos carregados com cigarros paraguaios'];PF e BPFRON apreendem três veículos carregados com cigarros paraguaios
183;['PF apreende droga despachada pelos Correios'];PF apreende droga despachada pelos Correios
184;['PF prende foragido da Justiça em Redenção PA'];PF prende foragido da Justiça em Redenção PA
185;['PF prende passageiros com droga fixada ao corpo e dentro de embalagens de produtos'];PF prende passageiros com droga fixada ao corpo e dentro de embalagens de produtos
186;['PF e BPFRON apreendem carregamento de cigarros contrabandeados em Terra Roxa PR'];PF e BPFRON apreendem carregamento de cigarros contrabandeados em Terra Roxa PR
187;['PF prende passageiro com droga oculta em fundo falso de mala'];PF prende passageiro com droga oculta em fundo falso de mala
188;['PF deflagra a Operação Hermano para apurar esquema de corrupção em Iracema RR'];PF deflagra a Operação Hermano para apurar esquema de corrupção em Iracema RR
189;['Polícia Federal combate crime de aquisição de moeda falsa em Alagoas'];Polícia Federal combate crime de aquisição de moeda falsa em Alagoas
190;['Policiais apreendem veículo carregado com eletrônicos em Foz do Iguaçu PR'];Policiais apreendem veículo carregado com eletrônicos em Foz do Iguaçu PR
191;['Polícia Federal prende homem que adquiriu cédulas falsas em redes sociais'];Polícia Federal prende homem que adquiriu cédulas falsas em redes sociais
192;['Polícia Federal e Marinha do Brasil realizam ações de cooperação internacional para interceptar embarcação carregada com cocaína'];Polícia Federal e Marinha do Brasil realizam ações de cooperação internacional para interceptar embarcação carregada com cocaína
193;['PF prende acusado de homicídio por meio de cooperação policial internacional'];PF prende acusado de homicídio por meio de cooperação policial internacional
194;['Polícia Federal combate o crime de descaminho no Rio Grande do Sul'];Polícia Federal combate o crime de descaminho no Rio Grande do Sul
195;['Polícia Federal e BPFRON prendem motorista com caminhão carregado com cigarros paraguaios'];Polícia Federal e BPFRON prendem motorista com caminhão carregado com cigarros paraguaios
196;['Polícia Federal e Marinha do Brasil trazem até a costa de Pernambuco veleiro interceptado com drogas no mar territorial brasileiro'];Polícia Federal e Marinha do Brasil trazem até a costa de Pernambuco veleiro interceptado com drogas no mar territorial brasileiro
197;['Operação Kambaí combate a prática de crimes ambientais em terra indígena'];Operação Kambaí combate a prática de crimes ambientais em terra indígena
198;['Polícia Federal apreende cerca de meia tonelada de cocaína em avião no aeroporto de Salvador BA'];Polícia Federal apreende cerca de meia tonelada de cocaína em avião no aeroporto de Salvador BA
199;['PF incinera 140 kg de droga em Cruzeiro do Sul'];PF incinera 140 kg de droga em Cruzeiro do Sul
200;['PF deflagra Operação Creeper para combater fraudes bancárias no Espírito Santo'];PF deflagra Operação Creeper para combater fraudes bancárias no Espírito Santo
201;['PF prendeu homem que recebeu R 1 mil em cédulas falsas pelos Correios'];PF prendeu homem que recebeu R 1 mil em cédulas falsas pelos Correios
202;['Polícia Federal e SENAD reiniciam a Operação Nova Aliança para erradicar cultivos de Cannabis'];Polícia Federal e SENAD reiniciam a Operação Nova Aliança para erradicar cultivos de Cannabis
203;['PF deflagra Operação', 'Reagente II para apurar desvios de recursos públicos destinados ao enfrentamento à COVID - 19 em Arraial PI e Isaías Coelho PI'];PF deflagra Operação Reagente II para apurar desvios de recursos públicos destinados ao enfrentamento à COVID - 19 em Arraial PI e Isaías Coelho PI
