Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
de	ADP	0	7	9	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
literatura	NOUN	0	7	10	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
sobre	ADP	0	7	11	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
Covid	PROPN	1	7	12	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
-	PUNCT	0	7	13	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
19	NUM	0	7	14	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
6	['NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NUM']	[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]	7	6	1	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
CGU	PROPN	1	8	0	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
seleciona	VERB	1	8	1	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
servidores	NOUN	0	8	2	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
federais	ADJ	0	8	3	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
para	ADP	0	8	4	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
sua	DET	0	8	5	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
equipe	NOUN	0	8	6	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
de	ADP	0	8	7	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
Tecnologia	PROPN	0	8	8	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
da	ADP	0	8	9	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
Informação	PROPN	0	8	10	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
7	['PROPN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN']	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	8	7	1	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
CGU	PROPN	1	9	0	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
no	ADP	0	9	1	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Maranhão	PROPN	0	9	2	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
realiza	VERB	0	9	3	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
oficina	NOUN	0	9	4	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
sobre	ADP	0	9	5	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
os	DET	0	9	6	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
100	NUM	0	9	7	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Primeiros	PROPN	1	9	8	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Dias	PROPN	0	9	9	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
da	ADP	0	9	10	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Gestão	PROPN	0	9	11	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Municipal	ADJ	0	9	12	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
8	['PROPN', 'ADP', 'PROPN', 'VERB', 'NOUN', 'ADP', 'DET', 'NUM', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADJ']	[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	9	8	1	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Instabilidade	PROPN	1	10	0	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
de	ADP	0	10	1	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
acesso	NOUN	0	10	2	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
ao	ADP	0	10	3	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Portal	PROPN	1	10	4	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
da	ADP	0	10	5	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Transparência	PROPN	1	10	6	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
do	ADP	0	10	7	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Governo	PROPN	0	10	8	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Federal	PROPN	0	10	9	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
9	['PROPN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN']	[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]	10	9	1	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Atualização	NOUN	1	11	0	0	Atualização das Despesas Públicas no Portal da Transparência
das	ADP	0	11	1	0	Atualização das Despesas Públicas no Portal da Transparência
Despesas	PROPN	1	11	2	0	Atualização das Despesas Públicas no Portal da Transparência
Públicas	PROPN	0	11	3	0	Atualização das Despesas Públicas no Portal da Transparência
no	ADP	0	11	4	0	Atualização das Despesas Públicas no Portal da Transparência
Portal	PROPN	1	11	5	0	Atualização das Despesas Públicas no Portal da Transparência
da	ADP	0	11	6	0	Atualização das Despesas Públicas no Portal da Transparência
Transparência	PROPN	1	11	7	0	Atualização das Despesas Públicas no Portal da Transparência
10	['NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN']	[1, 0, 1, 0, 0, 1, 0, 1]	11	10	1	Atualização das Despesas Públicas no Portal da Transparência
CGU	PROPN	1	12	0	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
publica	VERB	0	12	1	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
Relatório	NOUN	1	12	2	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
de	ADP	0	12	3	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
Gestão	PROPN	0	12	4	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
Fiscal	PROPN	1	12	5	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
do	ADP	0	12	6	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
terceiro	ADJ	0	12	7	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
quadrimestre	NOUN	1	12	8	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
de	ADP	0	12	9	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
2020	NUM	1	12	10	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
11	['PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NUM']	[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1]	12	11	1	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
GT	PROPN	0	13	0	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
-	PUNCT	0	13	1	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
tica	NOUN	1	13	2	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
inclui	VERB	0	13	3	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
entrevistas	NOUN	0	13	4	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
com	ADP	0	13	5	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
especialistas	NOUN	0	13	6	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
no	ADP	0	13	7	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
processo	NOUN	0	13	8	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
de	ADP	0	13	9	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
reformulação	NOUN	0	13	10	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
das	ADP	0	13	11	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
normas	NOUN	0	13	12	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
federais	ADJ	0	13	13	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
12	['PROPN', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ']	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	13	12	1	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
Força	PROPN	0	14	0	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
-	PUNCT	0	14	1	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
tarefa	NOUN	0	14	2	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
combate	VERB	0	14	3	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
fraudes	NOUN	1	14	4	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
no	ADP	0	14	5	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
fornecimento	NOUN	0	14	6	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
de	ADP	0	14	7	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
material	NOUN	0	14	8	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
didático	ADJ	1	14	9	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
na	ADP	0	14	10	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
Paraíba	PROPN	0	14	11	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
13	['PROPN', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'PROPN']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	14	13	1	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
Covid	PROPN	1	15	0	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
-	PUNCT	0	15	1	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
19	NUM	0	15	2	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
CGU	PROPN	1	15	3	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
e	CCONJ	0	15	4	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
PF	PROPN	1	15	5	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
combatem	VERB	1	15	6	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
desvios	NOUN	1	15	7	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
de	ADP	0	15	8	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
recursos	NOUN	0	15	9	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
no	ADP	0	15	10	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
Rio	PROPN	0	15	11	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
de	ADP	0	15	12	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
Janeiro	PROPN	0	15	13	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
14	['PROPN', 'PUNCT', 'NUM', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN']	[1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]	15	14	1	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
Investigação	PROPN	1	16	0	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
no	ADP	0	16	1	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
Fundo	PROPN	0	16	2	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
de	ADP	0	16	3	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
Financiamento	PROPN	1	16	4	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
do	ADP	0	16	5	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
Ensino	PROPN	0	16	6	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
Superior	PROPN	0	16	7	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
FIES	PROPN	1	16	8	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
15	['PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PROPN']	[1, 0, 0, 0, 1, 0, 0, 0, 1]	16	15	1	Investigação no Fundo de Financiamento do Ensino Superior FIES
Está	AUX	0	17	0	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
aberta	ADJ	0	17	1	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
consulta	NOUN	0	17	2	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
para	ADP	0	17	3	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
priorização	NOUN	1	17	4	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
de	ADP	0	17	5	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
temas	NOUN	0	17	6	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
do	ADP	0	17	7	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
5	PROPN	0	17	8	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
Plano	PROPN	0	17	9	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
de	ADP	0	17	10	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
Ação	PROPN	0	17	11	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
Nacional	PROPN	0	17	12	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
de	ADP	0	17	13	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
Governo	PROPN	0	17	14	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
Aberto	PROPN	0	17	15	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
16	['AUX', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN']	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	17	16	1	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
LENI	PROPN	1	18	0	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
NCIA	PROPN	1	18	1	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
CGU	PROPN	1	18	2	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
,	PUNCT	0	18	3	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
AGU	PROPN	1	18	4	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
e	CCONJ	0	18	5	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
MPF	PROPN	1	18	6	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
celebram	VERB	1	18	7	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
acordo	NOUN	0	18	8	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
com	ADP	0	18	9	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
a	DET	0	18	10	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
Samsung	PROPN	1	18	11	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
Heavy	PROPN	0	18	12	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
Industries	PROPN	1	18	13	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
17	['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PROPN']	[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]	18	17	1	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
CGU	PROPN	1	19	0	0	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
realiza	VERB	0	19	1	0	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
encontro	NOUN	0	19	2	0	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
